algorithm,mode,seed,challenge_name,total_requirements,unmet_requirements,met_requirements,fitness,team_price,overall,chemistry,runtime_seconds,solution
umda,bd,0,Bronce Básico,2,0,2,0.0025899106927347332,107300,72.0,8,22.97847550001461,876 16 929 896 811 995 880 986 420 877 955
umda,bd,0,Plata Versátil,2,0,2,0.00011344436398744871,4700,78.0,10,23.781045599956997,618 275 164 367 785 333 920 923 423 287 729
umda,bd,0,Liga Variada Económica,4,0,4,0.0003403330919623461,14100,75.0,11,22.970503899967298,657 784 1005 787 785 991 707 560 772 649 636
umda,bd,0,Nación Única España,3,0,3,0.019323943155487994,4750,75.42148760330578,12,21.797679299954325,539 864 929 849 811 833 547 620 858 614 492
umda,bd,0,Química Compacta,3,0,3,0.005672218199372436,235000,76.0,20,24.891746599925682,960 16 878 863 988 11 968 502 520 951 795
umda,bd,0,Oro Premium,2,0,2,0.006025454723813289,237550,85.02479338842976,17,24.159447800018825,124 16 420 47 785 11 21 99 9 27 115
umda,bd,0,Galácticos Sencillos,2,1,1,0.5079636703115318,174300,87.6694214876033,8,22.57187270000577,4 16 15 273 121 2 14 17 33 6 0
umda,bd,0,Nación Única Brasil Elite,3,1,2,0.5119577457888929,145050,85.27272727272727,14,22.995150099974126,20 16 68 1 160 121 4 25 33 287 260
umda,bd,0,Icon Flash,3,1,2,0.521131526858983,171450,87.48760330578513,14,22.898848099983297,4 16 24 3 121 15 14 17 9 287 0
umda,bd,0,Multiliga Química,4,0,4,0.04215416163938309,232000,80.85123966942149,23,24.85992980003357,132 16 404 884 610 11 781 654 808 211 297
umda,bd,0,Híbrido Budget,5,0,5,0.011876823996664784,162500,80.63636363636364,25,23.174925899947993,798 132 36 824 820 11 377 313 662 621 297
umda,bd,0,Defensa de Hierro,3,0,3,0.0029881728216268407,123800,82.0,20,23.253752899938263,4 16 756 192 785 643 187 560 145 68 755
umda,bd,0,Extremos Prolíficos,4,0,4,0.002943758565178915,113400,80.01652892561982,25,24.797420599963516,399 16 736 176 785 332 963 105 154 287 849
umda,bd,0,TriNación Elite,4,2,2,1.1894589109870588,142400,82.19008264462809,22,24.32639990001917,20 16 420 526 922 382 403 560 74 620 0
umda,bd,0,Icon Thunder Squad,4,1,3,0.9139268377718777,270100,85.0,16,22.93835890002083,18 16 351 29 319 11 377 15 9 620 250
umda,bd,0,Liga y Nación Mixta,6,1,5,0.5739313377245874,25200,79.69421487603306,29,25.659205700038,657 592 61 526 121 873 772 30 434 287 636
umda,bd,0,Héroes de Champions,3,1,2,0.5134382905046002,269450,86.39669421487604,20,23.374614399974234,20 16 524 15 121 11 153 34 0 27 17
umda,bd,0,Leyendas Supremas,7,3,4,3.00293200633435,39950,83.83471074380165,10,22.890815699938685,4 132 420 161 97 24 84 25 434 287 35
umda,bd,0,Selección Épica,6,1,5,0.9368517892372479,107250,80.07438016528926,17,23.375033300020732,827 16 116 248 572 654 153 804 434 527 728
umda,bd,0,Equip ofensiu,6,0,6,0.005461018585566015,226250,78.0,29,23.469400899950415,594 16 736 696 785 11 822 778 851 689 963
umda,bd,1,Bronce Básico,2,0,2,0.0007640721612809575,26900,72.0082644628099,6,23.486971499980427,883 858 1004 624 945 877 880 856 28 988 864
umda,bd,1,Plata Versátil,2,0,2,0.0006589427950760318,27300,78.0,9,24.081564599997364,621 858 600 429 709 585 982 191 28 589 317
umda,bd,1,Liga Variada Económica,4,0,4,0.011176743406682314,29350,75.78512396694215,11,23.32049939990975,590 869 816 737 841 936 633 828 28 874 882
umda,bd,1,Nación Única España,3,0,3,0.024345913737988077,13850,75.77685950413223,8,20.49898110004142,740 683 816 624 644 620 891 828 805 343 809
umda,bd,1,Química Compacta,3,0,3,0.0009370233802289698,20800,76.03305785123966,20,23.34884570003487,644 419 830 436 988 640 777 688 481 627 882
umda,bd,1,Oro Premium,2,0,2,0.0012321988896934588,51050,85.0,17,23.7925385000417,19 21 10 9 372 192 603 562 28 287 15
umda,bd,1,Galácticos Sencillos,2,1,1,0.5089998881097678,81050,87.3801652892562,8,21.77976510010194,27 0 10 9 43 37 123 15 28 45 2
umda,bd,1,Nación Única Brasil Elite,3,1,2,0.5106473669153071,146500,85.38842975206612,12,22.94008249999024,0 460 31 107 16 7 22 198 614 44 40
umda,bd,1,Icon Flash,3,1,2,0.5266546929264136,231000,87.12396694214875,11,23.100463500013575,0 460 26 3 16 7 238 5 28 286 18
umda,bd,1,Multiliga Química,4,1,3,0.8213462601076978,25750,78.19834710743801,15,22.935862800106406,108 698 922 990 473 593 407 510 28 287 809
umda,bd,1,Híbrido Budget,5,1,4,0.552134093552203,36200,80.90082644628099,24,23.689340600045398,108 739 57 135 531 572 238 772 28 287 851
umda,bd,1,Defensa de Hierro,3,0,3,0.000777831750944872,28050,82.00826446280992,20,23.9241562000243,196 299 88 139 785 64 595 284 28 287 67
umda,bd,1,Extremos Prolíficos,4,0,4,0.00038136615978759354,15800,80.0,27,23.408471899922006,351 314 315 139 286 812 137 828 618 343 67
umda,bd,1,TriNación Elite,4,2,2,1.377184194353152,42400,83.05785123966942,17,24.007628299994394,0 419 229 107 286 152 123 688 260 31 67
umda,bd,1,Icon Thunder Squad,4,1,3,1.1366326368516326,278050,85.02479338842976,10,22.230421399930492,18 272 351 139 16 135 123 284 28 11 15
umda,bd,1,Liga y Nación Mixta,6,2,4,1.116882789818249,39100,82.64462809917354,24,22.826144400052726,19 190 23 107 271 51 491 191 204 286 227
umda,bd,1,Héroes de Champions,3,1,2,0.5172965056511007,59350,85.6198347107438,21,23.971122200018726,14 34 27 107 271 135 5 15 28 286 67
umda,bd,1,Leyendas Supremas,7,1,6,1.5007718115163313,27900,84.00826446280992,10,23.918797399965115,20 27 94 68 785 25 238 34 15 620 301
umda,bd,1,Selección Épica,6,1,5,0.8488417633646717,47600,81.14876033057851,20,24.59087110008113,234 637 523 147 664 135 391 191 28 835 67
umda,bd,1,Equip ofensiu,6,0,6,0.0006215302920588946,25750,78.0,19,24.450212999945506,173 858 120 884 785 812 833 510 28 688 882
umda,bd,2,Bronce Básico,2,0,2,0.00020650518083200744,3800,72.00826446280992,6,23.118480299948715,864 798 779 787 921 838 989 897 992 473 974
umda,bd,2,Plata Versátil,2,0,2,0.00010741008930726527,4450,78.0,12,24.759546299930662,544 108 687 449 662 216 861 694 659 473 700
umda,bd,2,Liga Variada Económica,4,0,4,0.009885239066991482,7800,75.72727272727273,10,24.790039899991825,864 496 819 536 844 638 912 788 129 880 870
umda,bd,2,Nación Única España,3,0,3,0.02166972356525364,18650,75.57024793388429,7,21.948840300086886,624 615 683 293 809 696 929 848 833 805 889
umda,bd,2,Química Compacta,3,0,3,0.01955305211461068,134300,77.23966942148762,24,26.12179660005495,539 798 698 955 399 494 11 788 819 972 408
umda,bd,2,Oro Premium,2,0,2,0.000860115597576263,23550,85.02479338842976,14,24.673061799956486,27 2 34 218 371 49 159 333 21 287 17
