algorithm,mode,seed,challenge_name,total_requirements,unmet_requirements,met_requirements,fitness,team_price,overall,chemistry,runtime_seconds,solution
umda,club,0,Bronce Básico,2,0,2,0.004182137581346912,2850,72.01652892561982,6,23.21530340006575,539 969 736 984 883 992 974 849 897 620 297
umda,club,0,Plata Versátil,2,0,2,0.004576659038901602,3300,78.0,14,22.73733719997108,465 460 211 824 293 332 951 778 423 287 888
umda,club,0,Liga Variada Económica,4,0,4,0.014840731004658533,3550,75.74380165289256,11,21.676294300006703,933 592 652 696 582 332 990 591 851 965 297
umda,club,0,Nación Única España,3,0,3,0.025018796809934754,4350,75.40495867768595,9,21.874902299954556,812 540 929 681 811 858 547 714 891 494 840
umda,club,0,Química Compacta,3,0,3,0.15486569459941632,105550,76.64462809917356,20,24.44414160004817,844 16 534 884 988 382 811 726 678 881 636
umda,club,0,Oro Premium,2,0,2,0.020138931378667686,13750,85.0909090909091,12,21.955201199976727,102 81 211 75 121 15 21 99 17 195 1
umda,club,0,Galácticos Sencillos,2,1,1,0.6721856211757302,105600,85.73553719008265,11,21.143380100023933,94 16 17 81 121 15 21 105 26 27 29
umda,club,0,Nación Única Brasil Elite,3,1,2,0.5521251381552009,6750,82.32231404958678,10,21.79618930001743,399 67 164 460 160 121 84 198 33 126 81
umda,club,0,Icon Flash,3,1,2,0.6911370313933991,106350,85.11570247933884,14,22.645366300013848,246 16 17 29 121 332 21 15 33 287 26
umda,club,0,Multiliga Química,4,1,3,0.9654461757644617,27800,79.38842975206612,13,23.082166999927722,386 322 36 696 436 593 776 707 559 93 670
umda,club,0,Híbrido Budget,5,1,4,0.6304991300565463,6900,80.07438016528926,22,23.0937310999725,472 692 235 161 57 587 98 662 851 612 297
umda,club,0,Defensa de Hierro,3,0,3,0.007482620734636179,5250,82.01652892561982,18,23.258430299931206,94 77 15 180 785 689 273 560 74 105 297
umda,club,0,Extremos Prolíficos,4,0,4,0.006065412813384623,4150,80.02479338842976,26,23.728427199996077,441 160 736 460 293 332 399 105 510 343 81
umda,club,0,TriNación Elite,4,2,2,1.4249485340765102,24750,81.78512396694215,17,22.619449399993755,20 133 211 161 293 523 153 313 678 287 81
umda,club,0,Icon Thunder Squad,4,1,3,1.0633421881002003,272600,85.0082644628099,22,22.697947600041516,18 16 351 696 319 11 99 15 154 287 7
umda,club,0,Liga y Nación Mixta,6,2,4,1.4386089806939246,6850,82.17355371900827,16,22.934976499993354,657 84 61 526 811 858 221 119 15 27 135
umda,club,0,Héroes de Champions,3,1,2,0.5561350468741271,13900,83.79338842975207,21,22.431631599902175,399 133 164 828 121 15 37 34 33 287 27
umda,club,0,Leyendas Supremas,7,3,4,2.7885785250045707,8450,81.74380165289256,11,21.655335300019942,505 44 211 59 160 372 153 105 33 551 636
umda,club,0,Selección Épica,6,1,5,1.050156810459494,9300,80.31404958677686,14,22.57569169998169,60 275 116 248 945 222 153 804 434 147 637
