algorithm,mode,seed,challenge_name,total_requirements,unmet_requirements,met_requirements,fitness,team_price,overall,chemistry,runtime_seconds,solution
umda_structured,bd,0,Bronce Básico,2,0,2,0.002363942898140871,21850,72.13223140495869,13,1.5858179000206292,860 852 857 841 855 863 943 851 788 983 963
umda_structured,bd,0,Plata Versátil,2,0,2,6.999758629012792e-05,2900,78.0,16,1.6550010999199003,501 351 416 489 647 444 693 465 295 425 892
umda_structured,bd,0,Liga Variada Económica,4,0,4,0.0003901831826258955,11600,75.0082644628099,16,1.6379302999703214,803 784 722 736 756 771 686 801 819 836 1007
umda_structured,bd,0,Nación Única España,3,0,3,0.010023424631087097,17350,74.7107438016529,24,1.7241709000663832,814 858 891 744 811 736 732 840 828 788 833
umda_structured,bd,0,Química Compacta,3,0,3,0.004037844745015552,5100,76.29752066115702,18,1.7013868000358343,642 657 841 689 420 670 646 619 505 560 873
umda_structured,bd,0,Oro Premium,2,0,2,0.0004163649529326575,17250,85.0,14,1.8108456999761984,25 34 27 15 14 285 123 86 198 65 23
umda_structured,bd,0,Galácticos Sencillos,2,0,2,0.0023099203475742216,95700,88.0,10,1.731441400013864,1 0 10 15 22 5 123 4 127 9 3
umda_structured,bd,0,Nación Única Brasil Elite,3,1,2,0.5032916053323178,44800,85.80991735537191,18,1.6447239000117406,44 1 20 49 7 4 123 65 25 146 67
umda_structured,bd,0,Icon Flash,3,1,2,0.5230019069182116,302800,87.60330578512396,18,1.6520369000500068,16 5 6 48 11 4 24 15 25 23 3
umda_structured,bd,0,Multiliga Química,4,0,4,0.02061146344932813,15500,79.57851239669422,22,1.760559399961494,44 388 366 722 471 640 153 481 560 383 476
umda_structured,bd,0,Híbrido Budget,5,0,5,0.0001375814627081825,5700,80.0,27,1.6595852000173181,440 419 270 787 215 777 473 184 104 287 297
umda_structured,bd,0,Defensa de Hierro,3,0,3,0.0001243060584117789,5150,82.0,23,1.7045374000445008,142 460 293 73 15 123 247 343 198 562 151
umda_structured,bd,0,Extremos Prolíficos,4,0,4,0.0001243060584117789,5150,80.0,30,1.7037061000009999,294 395 736 139 812 293 69 372 614 246 276
umda_structured,bd,0,TriNación Elite,4,2,2,1.2848052620325976,49050,85.0413223140496,28,1.6951302000088617,107 44 223 33 7 42 123 80 25 65 3
umda_structured,bd,0,Icon Thunder Squad,4,0,4,0.00648322471638909,268600,85.0,33,1.7912916999775916,16 18 371 84 38 11 109 23 134 33 101
umda_structured,bd,0,Liga y Nación Mixta,6,1,5,0.5145131090703208,20000,84.79338842975207,29,1.772786199930124,27 84 135 15 22 137 633 25 64 221 4
umda_structured,bd,0,Héroes de Champions,3,0,3,0.0020364757029388255,76500,87.01652892561984,22,1.766769100097008,4 34 10 15 7 22 99 27 28 23 12
umda_structured,bd,0,Leyendas Supremas,7,1,6,1.5007929592624476,24700,84.01652892561982,30,1.8195235000457615,44 1 48 7 121 317 123 80 597 488 42
umda_structured,bd,0,Selección Épica,6,1,5,0.536371201648504,10300,80.22314049586777,29,1.8618438000557944,282 274 841 470 121 587 209 339 222 273 177
umda_structured,bd,0,Equip ofensiu,6,0,6,0.001520316516695968,14700,78.0909090909091,18,1.7184351000469178,929 395 528 366 369 487 328 481 597 560 357
