algorithm,mode,seed,challenge_name,total_requirements,unmet_requirements,met_requirements,fitness,team_price,overall,chemistry,runtime_seconds,solution
umda_structured_no_price,bd,0,Bronce Básico,2,0,2,0.0018365472910928382,28250,72.13223140495869,15,1.9155544999521226,863 852 857 841 855 860 943 851 820 983 963
umda_structured_no_price,bd,0,Plata Versátil,2,0,2,0.0,31400,78.0,13,1.9799914000323042,501 395 833 432 585 417 376 482 353 502 898
umda_structured_no_price,bd,0,Liga Variada Económica,4,0,4,0.0005509641873280291,31950,75.0413223140496,12,1.9091893000295386,802 894 811 794 785 771 772 770 762 692 815
umda_structured_no_price,bd,0,Nación Única España,3,0,3,0.009604645968282366,17350,74.7107438016529,24,2.969052799977362,858 814 891 744 811 736 732 840 828 788 833
umda_structured_no_price,bd,0,Química Compacta,3,0,3,0.00391474554153981,5400,76.29752066115702,20,2.3282829999225214,642 657 841 676 420 670 647 619 505 560 873
umda_structured_no_price,bd,0,Oro Premium,2,0,2,0.0,155400,85.0,23,2.448356100008823,19 59 27 121 57 11 98 228 154 138 3
umda_structured_no_price,bd,0,Galácticos Sencillos,2,0,2,0.0,538300,88.0,15,2.095060499967076,6 0 27 15 11 3 136 8 127 9 12
umda_structured_no_price,bd,0,Nación Única Brasil Elite,3,1,2,0.5022102633096289,54250,85.80991735537191,25,1.9913069000467658,44 1 20 49 7 4 153 68 25 146 67
umda_structured_no_price,bd,0,Icon Flash,3,1,2,0.5146717429659207,325550,87.69421487603306,11,1.9082736000418663,10 5 27 51 6 15 24 16 28 11 3
umda_structured_no_price,bd,0,Multiliga Química,4,0,4,0.032739987285441696,10100,80.55371900826445,23,2.0202108999947086,44 388 366 176 471 489 153 481 196 383 476
umda_structured_no_price,bd,0,Híbrido Budget,5,0,5,0.0,15300,80.0,27,2.0237559999804944,440 419 270 233 215 161 666 662 129 286 660
