algorithm,mode,seed,challenge_name,total_requirements,unmet_requirements,met_requirements,fitness,team_price,overall,chemistry,runtime_seconds,solution
umda_structured_no_price,club,0,Bronce Básico,2,0,2,0.0018365472910928382,28250,72.13223140495869,15,1.9200942000607029,863 852 857 841 855 860 943 851 820 983 963
umda_structured_no_price,club,0,Plata Versátil,2,0,2,0.0,31400,78.0,13,1.9385922000510618,501 395 833 432 585 417 376 482 353 502 898
umda_structured_no_price,club,0,Liga Variada Económica,4,0,4,0.0005509641873280291,31950,75.0413223140496,12,1.8725106999045238,802 894 811 794 785 771 772 770 762 692 815
umda_structured_no_price,club,0,Nación Única España,3,0,3,0.009604645968282366,17350,74.7107438016529,24,2.9485815000953153,858 814 891 744 811 736 732 840 828 788 833
umda_structured_no_price,club,0,Química Compacta,3,0,3,0.00391474554153981,5400,76.29752066115702,20,2.3152986000059173,642 657 841 676 420 670 647 619 505 560 873
umda_structured_no_price,club,0,Oro Premium,2,0,2,0.0,155400,85.0,23,2.409888199996203,19 59 27 121 57 11 98 228 154 138 3
umda_structured_no_price,club,0,Galácticos Sencillos,2,0,2,0.0,538300,88.0,15,2.1102444999851286,6 0 27 15 11 3 136 8 127 9 12
umda_structured_no_price,club,0,Nación Única Brasil Elite,3,1,2,0.5022102633096289,54250,85.80991735537191,25,1.948094299994409,44 1 20 49 7 4 153 68 25 146 67
umda_structured_no_price,club,0,Icon Flash,3,1,2,0.5146717429659207,325550,87.69421487603306,11,1.9045128000434488,10 5 27 51 6 15 24 16 28 11 3
umda_structured_no_price,club,0,Multiliga Química,4,0,4,0.032739987285441696,10100,80.55371900826445,23,2.027502099983394,44 388 366 176 471 489 153 481 196 383 476
umda_structured_no_price,club,0,Híbrido Budget,5,0,5,0.0,15300,80.0,27,2.0575892999768257,440 419 270 233 215 161 666 662 129 286 660
umda_structured_no_price,club,0,Defensa de Hierro,3,0,3,0.0,33450,82.0,23,2.003242400009185,212 43 464 227 233 109 488 28 191 104 547
umda_structured_no_price,club,0,Extremos Prolíficos,4,0,4,0.0,20450,80.0,28,2.028298699995503,351 643 288 811 441 286 40 154 680 378 276
umda_structured_no_price,club,0,TriNación Elite,4,1,3,0.5361570247933884,167950,84.81818181818181,28,2.011246799957007,107 44 223 11 33 42 123 148 25 65 3
umda_structured_no_price,club,0,Icon Thunder Squad,4,0,4,0.0,277500,85.0,32,2.1034490999300033,16 635 811 18 38 11 109 23 560 33 12
umda_structured_no_price,club,0,Liga y Nación Mixta,6,1,5,0.5098981356909476,31600,85.14876033057851,29,2.174501799978316,27 84 55 15 10 137 633 25 154 221 4
umda_structured_no_price,club,0,Héroes de Champions,3,0,3,0.0,496400,87.0,23,2.065032699960284,207 34 10 11 15 7 8 27 127 23 12
umda_structured_no_price,club,0,Leyendas Supremas,7,1,6,1.5000983864620228,39500,84.00826446280992,28,2.583375500049442,44 1 124 7 218 317 99 80 284 315 42
umda_structured_no_price,club,0,Selección Épica,6,1,5,0.5458333333333333,9600,81.0,29,2.0836488000350073,282 274 841 470 121 587 209 26 222 273 177
umda_structured_no_price,club,0,Equip ofensiu,6,0,6,0.0011655011655011815,15000,78.0909090909091,18,2.048618600005284,929 388 528 366 369 487 328 481 597 560 361
umda_structured_no_price,club,1,Bronce Básico,2,0,2,0.0004591368227733206,15950,72.03305785123968,7,1.9702608999796212,848 842 863 856 855 849 987 851 765 959 990
umda_structured_no_price,club,1,Plata Versátil,2,0,2,0.0,6750,78.0,15,1.995802600053139,460 581 719 429 332 578 807 264 450 221 875
umda_structured_no_price,club,1,Liga Variada Económica,4,0,4,0.0002203856749309896,13700,75.01652892561982,17,2.0315891000209376,657 811 736 830 828 777 849 772 712 823 921
umda_structured_no_price,club,1,Nación Única España,3,0,3,0.011838284565557355,24950,74.87603305785125,27,2.008386400062591,816 858 733 540 828 736 929 732 762 840 812
umda_structured_no_price,club,1,Química Compacta,3,0,3,0.000978686385384897,13700,76.07438016528926,18,2.0605937999207526,624 644 538 689 696 638 670 674 560 619 963
umda_structured_no_price,club,1,Oro Premium,2,0,2,0.0,472500,85.0,14,1.989068099996075,21 27 498 11 118 8 136 154 559 836 3
umda_structured_no_price,club,1,Galácticos Sencillos,2,0,2,0.0,217850,88.0,13,2.0817849000450224,0 17 82 11 7 10 5 2 99 33 12
umda_structured_no_price,club,1,Nación Única Brasil Elite,3,0,3,9.60984047664315e-05,61050,86.00826446280992,18,1.909977599978447,44 1 124 33 328 7 0 25 23 146 22
umda_structured_no_price,club,1,Icon Flash,3,1,2,0.507428730615656,331700,88.33884297520662,11,1.8471730999881402,16 5 207 12 11 6 1 15 13 0 2
umda_structured_no_price,club,1,Multiliga Química,4,0,4,0.0014833651197285747,241200,78.11570247933884,23,1.924246099893935,16 472 809 811 786 11 480 481 515 1001 991
umda_structured_no_price,club,1,Híbrido Budget,5,0,5,0.0,139900,80.0,28,1.9578244000440463,440 224 390 585 233 11 226 662 568 352 628
umda_structured_no_price,club,1,Defensa de Hierro,3,0,3,0.0,31250,82.0,24,2.0052720999810845,571 89 239 42 160 238 138 326 28 387 458
umda_structured_no_price,club,1,Extremos Prolíficos,4,0,4,0.0,27050,80.0,28,2.363856800016947,288 395 33 336 624 121 243 778 762 246 375
umda_structured_no_price,club,1,TriNación Elite,4,1,3,0.5370961682945153,44950,84.73553719008265,25,2.0774008000735193,19 160 78 139 121 7 64 2 68 247 50
umda_structured_no_price,club,1,Icon Thunder Squad,4,0,4,0.0,282850,85.0,31,2.115807899972424,16 18 207 119 38 11 120 23 148 99 101
umda_structured_no_price,club,1,Liga y Nación Mixta,6,1,5,0.5105708245243129,373050,85.0909090909091,29,2.0328595999162644,19 139 49 8 22 4 64 148 450 33 101
umda_structured_no_price,club,1,Héroes de Champions,3,1,2,0.5005699629524081,169000,86.9504132231405,22,2.003728899988346,34 27 10 7 11 15 146 13 99 23 3
umda_structured_no_price,club,1,Leyendas Supremas,7,2,5,2.003935458480913,38900,83.6694214876033,33,2.2151846999768168,20 40 124 251 42 7 775 284 99 33 357
umda_structured_no_price,club,1,Selección Épica,6,1,5,0.5334366391184574,9550,80.00826446280992,29,2.0545710999285802,188 43 270 543 648 248 121 804 619 527 361
umda_structured_no_price,club,1,Equip ofensiu,6,0,6,0.0004238186056368942,14650,78.03305785123968,19,1.9747695000842214,332 541 805 673 446 417 473 29 597 434 963
umda_structured_no_price,club,2,Bronce Básico,2,0,2,0.0,21600,72.0,8,1.9035810999339446,848 852 744 757 853 863 1004 788 851 1005 997
umda_structured_no_price,club,2,Plata Versátil,2,0,2,0.0,4400,78.0,9,1.9879636999685317,461 472 617 253 271 563 686 434 418 430 892
umda_structured_no_price,club,2,Liga Variada Económica,4,0,4,0.0002203856749309896,15850,75.01652892561982,14,1.8958921999437734,682 830 651 500 704 662 943 778 609 983 873
umda_structured_no_price,club,2,Nación Única España,3,0,3,0.002792048246593737,25350,74.20661157024793,27,1.8707120000617579,858 740 929 811 744 891 849 762 801 812 816
umda_structured_no_price,club,2,Química Compacta,3,0,3,0.0033710308829923985,27400,76.25619834710743,19,1.8752864999696612,599 624 538 651 691 648 665 662 615 627 750
umda_structured_no_price,club,2,Oro Premium,2,0,2,0.0,156350,85.0,25,2.0287431000033394,41 96 43 15 11 49 123 136 256 111 3
umda_structured_no_price,club,2,Galácticos Sencillos,2,0,2,0.0,206350,88.0,14,1.987204400007613,2 4 9 11 7 6 262 74 13 1 3
umda_structured_no_price,club,2,Nación Única Brasil Elite,3,1,2,0.5041322314049587,163750,85.64462809917356,23,2.1216781000839546,107 0 48 11 126 22 25 23 65 31 50
umda_structured_no_price,club,2,Icon Flash,3,1,2,0.5078001671464388,562800,88.30578512396694,13,1.99668159999419,0 2 147 6 11 7 25 23 28 3 8
umda_structured_no_price,club,2,Multiliga Química,4,0,4,0.00381436745073116,25700,78.29752066115702,24,2.0242790000047535,335 492 328 681 195 483 336 560 415 983 362
umda_structured_no_price,club,2,Híbrido Budget,5,0,5,0.00010330578512407484,133450,80.00826446280992,25,2.078832400031388,512 566 327 587 371 11 774 136 273 354 750
umda_structured_no_price,club,2,Defensa de Hierro,3,0,3,0.0,124550,82.0,24,1.9437725999159738,16 169 367 61 319 336 620 190 83 113 177
umda_structured_no_price,club,2,Extremos Prolíficos,4,0,4,0.0,6600,80.0,24,2.3151240000734106,385 180 373 84 494 670 436 597 284 801 67
umda_structured_no_price,club,2,TriNación Elite,4,1,3,0.5262021036814425,58200,85.69421487603306,25,1.9904708999674767,107 4 35 121 22 24 123 30 154 1 20
umda_structured_no_price,club,2,Icon Thunder Squad,4,0,4,0.00019445794846850717,287550,85.01652892561982,27,1.990025700069964,149 382 84 18 38 16 376 28 30 11 244
umda_structured_no_price,club,2,Liga y Nación Mixta,6,1,5,0.5039400345954258,35300,85.66115702479338,33,1.9642622999381274,4 41 49 15 192 27 121 115 23 119 3
umda_structured_no_price,club,2,Héroes de Champions,3,0,3,0.0003799753016053842,190450,87.03305785123968,21,1.9625486999284476,47 27 10 11 15 34 123 13 28 3 12
umda_structured_no_price,club,2,Leyendas Supremas,7,2,5,2.0009838646202285,28600,84.08264462809917,20,1.980522400001064,592 34 485 7 411 42 334 434 74 22 4
umda_structured_no_price,club,2,Selección Épica,6,0,6,0.004338842975206703,18000,80.34710743801654,30,2.052309599937871,232 188 303 218 648 585 676 450 273 119 67
umda_structured_no_price,club,2,Equip ofensiu,6,0,6,0.00031786395422761515,5650,78.02479338842976,27,2.062575799995102,681 388 805 573 314 441 328 689 434 505 408
umda_structured_no_price,club,3,Bronce Básico,2,0,2,0.005165289256198413,27700,72.37190082644628,8,1.9842870000284165,852 844 811 854 865 744 974 762 863 1001 967
umda_structured_no_price,club,3,Plata Versátil,2,0,2,0.0,14200,78.0,14,1.925727800000459,350 539 416 333 463 475 515 510 305 306 906
umda_structured_no_price,club,3,Liga Variada Económica,4,0,4,0.0,13550,75.0,11,1.9990562999155372,784 878 661 696 791 720 778 788 819 840 892
umda_structured_no_price,club,3,Nación Única España,3,0,3,0.005584096493187252,8550,74.41322314049586,24,2.035977999912575,809 848 891 833 828 736 929 816 788 840 801
