algorithm,mode,challenge_name,attempts,total_requirements,best_unmet_requirements,best_met_requirements,best_reliability_percent,found_feasible_solution,best_team_price,best_overall,best_chemistry,best_seed,best_unmet_details,persistent_unmet_details
umda_structured_no_price,bd,Bronce Básico,5,2,0,2,100.0,True,21600,72.0,8,2,,
umda_structured_no_price,bd,Defensa de Hierro,5,3,0,3,100.0,True,21800,82.0,19,3,,
umda_structured_no_price,bd,Equip ofensiu,5,6,0,6,100.0,True,6400,78.0,20,3,,
umda_structured_no_price,bd,Extremos Prolíficos,5,4,0,4,100.0,True,6600,80.0,24,2,,
umda_structured_no_price,bd,Galácticos Sencillos,5,2,0,2,100.0,True,206350,88.0,14,2,,
umda_structured_no_price,bd,Héroes de Champions,5,3,0,3,100.0,True,496400,87.0,23,0,,
umda_structured_no_price,bd,Híbrido Budget,5,5,0,5,100.0,True,15300,80.0,27,0,,
umda_structured_no_price,bd,Icon Flash,5,3,1,2,66.66666666666666,False,331700,88.33884297520662,11,1,average.min:89,average.min:89
umda_structured_no_price,bd,Icon Thunder Squad,5,4,0,4,100.0,True,277500,85.0,32,0,,
umda_structured_no_price,bd,Leyendas Supremas,5,7,1,6,85.71428571428571,False,39500,84.00826446280992,28,0,versions.min:Dynamic Duos:2,
umda_structured_no_price,bd,Liga Variada Económica,5,4,0,4,100.0,True,13550,75.0,11,3,,
umda_structured_no_price,bd,Liga y Nación Mixta,5,6,1,5,83.33333333333334,False,35300,85.66115702479338,33,2,average.min:86,average.min:86
umda_structured_no_price,bd,Multiliga Química,5,4,0,4,100.0,True,241200,78.11570247933884,23,1,,
umda_structured_no_price,bd,Nación Única Brasil Elite,5,3,0,3,100.0,True,61050,86.00826446280992,18,1,,
umda_structured_no_price,bd,Nación Única España,5,3,0,3,100.0,True,25350,74.20661157024793,27,2,,
umda_structured_no_price,bd,Oro Premium,5,2,0,2,100.0,True,138450,85.0,13,3,,
umda_structured_no_price,bd,Plata Versátil,5,2,0,2,100.0,True,4400,78.0,9,2,,
umda_structured_no_price,bd,Química Compacta,5,3,0,3,100.0,True,13700,76.07438016528926,18,1,,
umda_structured_no_price,bd,Selección Épica,5,6,0,6,100.0,True,108200,80.18181818181819,30,4,,
umda_structured_no_price,bd,TriNación Elite,5,4,1,3,75.0,False,279550,85.71074380165288,29,4,average.min:88,average.min:88
umda_structured_no_price,club,Bronce Básico,5,2,0,2,100.0,True,21600,72.0,8,2,,
umda_structured_no_price,club,Defensa de Hierro,5,3,0,3,100.0,True,21800,82.0,19,3,,
umda_structured_no_price,club,Equip ofensiu,5,6,0,6,100.0,True,6400,78.0,20,3,,
umda_structured_no_price,club,Extremos Prolíficos,5,4,0,4,100.0,True,6600,80.0,24,2,,
umda_structured_no_price,club,Galácticos Sencillos,5,2,0,2,100.0,True,206350,88.0,14,2,,
umda_structured_no_price,club,Héroes de Champions,5,3,0,3,100.0,True,496400,87.0,23,0,,
umda_structured_no_price,club,Híbrido Budget,5,5,0,5,100.0,True,15300,80.0,27,0,,
umda_structured_no_price,club,Icon Flash,5,3,1,2,66.66666666666666,False,331700,88.33884297520662,11,1,average.min:89,average.min:89
umda_structured_no_price,club,Icon Thunder Squad,5,4,0,4,100.0,True,277500,85.0,32,0,,
umda_structured_no_price,club,Leyendas Supremas,5,7,1,6,85.71428571428571,False,39500,84.00826446280992,28,0,versions.min:Dynamic Duos:2,
umda_structured_no_price,club,Liga Variada Económica,5,4,0,4,100.0,True,13550,75.0,11,3,,
umda_structured_no_price,club,Liga y Nación Mixta,5,6,1,5,83.33333333333334,False,35300,85.66115702479338,33,2,average.min:86,average.min:86
umda_structured_no_price,club,Multiliga Química,5,4,0,4,100.0,True,241200,78.11570247933884,23,1,,
umda_structured_no_price,club,Nación Única Brasil Elite,5,3,0,3,100.0,True,61050,86.00826446280992,18,1,,
umda_structured_no_price,club,Nación Única España,5,3,0,3,100.0,True,25350,74.20661157024793,27,2,,
umda_structured_no_price,club,Oro Premium,5,2,0,2,100.0,True,138450,85.0,13,3,,
umda_structured_no_price,club,Plata Versátil,5,2,0,2,100.0,True,4400,78.0,9,2,,
umda_structured_no_price,club,Química Compacta,5,3,0,3,100.0,True,13700,76.07438016528926,18,1,,
umda_structured_no_price,club,Selección Épica,5,6,0,6,100.0,True,108200,80.18181818181819,30,4,,
umda_structured_no_price,club,TriNación Elite,5,4,1,3,75.0,False,279550,85.71074380165288,29,4,average.min:88,average.min:88
